geoext:constituentPartIdentifier,geoext:name,geoext:language,geoext:nameType,geoext:nameIdentifier,geoext:classificationCode,geoext:isPreferredName,geoext:namePublishedIn,geoext:nameRemarks
emu:/test/etaxonomy/1014844-0,Veatchite,,,,,,,
emu:/test/etaxonomy/1009355-0,Nepheline,,,,,,,
emu:/test/etaxonomy/1006895-2,Ilmenite,,,,,,,
emu:/test/etaxonomy/1006895-0,Ilmenite,,,,,,,
emu:/test/etaxonomy/1013620-0,Stilbite,,,,,,,
emu:/test/etaxonomy/1007490-0,Kotoite,,,,,,,
emu:/test/etaxonomy/1003362-2,Clinohumite,,,,,,,
emu:/test/etaxonomy/1005012-3,Forsterite,,,,,,,
emu:/test/etaxonomy/1013495-4,Spinel,,,,,,,
emu:/test/etaxonomy/1002149-0,Boracite,,,,,,,
emu:/test/etaxonomy/1013316-0,Smaltite,,,,,,,
emu:/test/etaxonomy/1015396-0,Xonotlite,,,,,,,
emu:/test/etaxonomy/1014094-0,Thaumasite,,,,,,,
emu:/test/etaxonomy/1012859-0,Sericite,,,,,,,
emu:/test/etaxonomy/1000093-0,Actinolite,,,,,,,
emu:/test/etaxonomy/1009378-1,Nephrite,,,,,,,
emu:/test/etaxonomy/1013959-0,Tantalite,,,,,,,
emu:/test/etaxonomy/1009039-0,Monazite,,,,,,,
emu:/test/etaxonomy/1010197-0,Parabutlerite,,,,,,,
emu:/test/etaxonomy/1003686-1,Coquimbite,,,,,,,
emu:/test/etaxonomy/1010045-0,Orpiment,,,,,,,
emu:/test/etaxonomy/1000675-0,Allanite,,,,,,,
emu:/test/etaxonomy/1015551-1,Zircon,,,,,,,
emu:/test/etaxonomy/1009039-2,Monazite,,,,,,,
emu:/test/etaxonomy/1008281-0,Magnesite,,,,,,,
emu:/test/etaxonomy/1009434-0,Nickeline,,,,,,,
emu:/test/etaxonomy/1002812-1,Chalcanthite,,,,,,,
emu:/test/etaxonomy/1001464-0,Atacamite,,,,,,,
emu:/test/etaxonomy/1009736-0,Opal,,,,,,,
emu:/test/etaxonomy/1001491-1,Augite,,,,,,,
emu:/test/etaxonomy/1002333-0,Bronzite,,,,,,,
emu:/test/etaxonomy/1001954-0,Haüyne (var. berzeline),,,,,,,
emu:/test/etaxonomy/1007743-0,Lazurite,,,,,,,
emu:/test/etaxonomy/1015589-0,Melilite (var. zurlite),,,,,,,
emu:/test/etaxonomy/1012357-1,Sarcolite,,,,,,,
emu:/test/etaxonomy/1006700-1,Melilite (var. humboldtilite),,,,,,,
emu:/test/etaxonomy/1000995-0,Andalusite,,,,,,,
emu:/test/etaxonomy/1003962-0,Datolite,,,,,,,
emu:/test/etaxonomy/1002189-1,Datolite (var. botryolite),,,,,,,
emu:/test/etaxonomy/1004843-0,Ferro-axinite,,,,,,,
emu:/test/etaxonomy/1006704-0,Humite,,,,,,,
emu:/test/etaxonomy/1006429-0,Herschelite,,,,,,,
emu:/test/etaxonomy/1006429-1,Herschelite,,,,,,,
emu:/test/etaxonomy/1011343-0,Pyromorphite,,,,,,,
emu:/test/etaxonomy/1008932-0,Mimetite,,,,,,,
emu:/test/etaxonomy/1001404-1,Arsenopyrite,,,,,,,
emu:/test/etaxonomy/1009641-0,Olivenite,,,,,,,
emu:/test/etaxonomy/1001139-0,Annabergite,,,,,,,
emu:/test/etaxonomy/1002412-0,Cacoxenite,,,,,,,
emu:/test/etaxonomy/1011249-0,Pyrite,,,,,,,
emu:/test/etaxonomy/1009084-0,Montmorillonite,,,,,,,
emu:/test/etaxonomy/1002047-0,Bismuthinite,,,,,,,
emu:/test/etaxonomy/1010694-0,Pinite,,,,,,,
emu:/test/etaxonomy/1006099-0,Greenockite,,,,,,,
emu:/test/etaxonomy/1015091-1,Wavellite,,,,,,,
emu:/test/etaxonomy/1015291-0,Wolframite,,,,,,,
emu:/test/etaxonomy/1002393-0,Butlerite,,,,,,,
emu:/test/etaxonomy/1002657-0,Carminite,,,,,,,
emu:/test/etaxonomy/1005698-1,Scorodite,,,,,,,
emu:/test/etaxonomy/1010853-0,Polyhalite,,,,,,,
emu:/test/etaxonomy/1004807-0,Fergusonite,,,,,,,
emu:/test/etaxonomy/1013659-0,Strengite,,,,,,,
emu:/test/etaxonomy/1003940-1,Dahllite,,,,,,,
emu:/test/etaxonomy/1001665-2,Barrandite,,,,,,,
emu:/test/etaxonomy/1014454-0,Tschermigite,,,,,,,
emu:/test/etaxonomy/1002200-0,Boussingaultite,,,,,,,
emu:/test/etaxonomy/1002200-1,Boussingaultite,,,,,,,
emu:/test/etaxonomy/1008593-0,Mascagnite,,,,,,,
emu:/test/etaxonomy/1013570-0,Stellerite,,,,,,,
emu:/test/etaxonomy/1011129-0,Pseudobrookite,,,,,,,
